week_idx,obs,median,p15,p85,mean
0,26.33260295008309,84.0,73.7,94.25,83.3
1,34.64816177642511,228.0,218.4,256.2,234.8
2,29.10445589219709,235.0,210.7,243.6,229.4
3,34.64816177642511,231.0,205.7,239.5,223.9
4,36.03408824748212,223.0,204.0,231.25,218.6
5,44.34964707382414,222.0,211.75,235.25,224.0
6,51.27927942910917,226.5,214.35,235.54999999999998,225.0
7,31.8763088343111,221.0,208.05,238.9,222.7
8,36.03408824748212,218.5,209.0,228.9,219.9
9,40.19186766065313,228.0,208.2,245.65,224.8
10,55.43705884228018,205.0,197.05,229.0,210.8
11,60.9807647265082,213.5,201.35,228.3,214.0
12,55.43705884228018,216.0,203.7,223.95,212.6
13,40.19186766065313,205.5,198.75,223.65,206.9
14,55.43705884228018,210.0,192.0,214.65,206.5
15,45.73557354488114,207.0,202.7,221.65,210.3
16,41.57779413171013,200.5,187.0,207.65,198.2
17,49.89335295805216,211.5,197.7,225.3,210.1
18,42.96372060276714,203.0,191.0,222.54999999999998,205.0
19,30.4903823632541,212.0,199.35,221.25,210.1
20,66.5244706107362,192.5,189.35,202.85,194.5
21,67.91039708179322,193.5,185.4,201.0,194.2
22,55.43705884228018,187.0,177.7,202.79999999999998,187.7
23,66.5244706107362,197.5,178.45,206.95,195.6
24,51.27927942910917,194.0,185.1,201.95,193.7
25,51.27927942910917,192.5,185.4,200.3,193.7
26,58.20891178439418,187.5,179.4,193.65,187.2
27,42.96372060276714,185.0,175.35,201.45,187.8
28,51.27927942910917,184.0,177.05,200.95,188.3
29,33.2622353053681,181.0,173.05,196.85,182.6
30,30.4903823632541,197.5,184.75,213.65,198.1
31,33.2622353053681,181.0,172.5,198.15,183.7
32,30.4903823632541,184.5,167.35,196.9,181.5
33,19.402970594798063,186.0,172.35,196.85,184.4
34,9.701485297399032,178.5,166.0,186.0,177.7
35,5.543705884228017,181.5,176.05,192.2,182.5
36,20.788897065855064,180.0,171.0,195.5,182.9
37,13.859264710570043,177.0,167.35,188.85,178.0
38,11.087411768456034,180.5,168.35,192.25,180.5
39,18.01704412374106,175.5,161.05,180.3,172.6
40,6.929632355285023,173.5,165.4,190.15,175.3
41,9.701485297399032,165.5,155.75,193.95,171.9
42,12.47333823951304,167.5,162.1,178.9,170.0
43,12.47333823951304,175.0,152.95,195.15,174.3
44,11.087411768456034,167.0,160.4,173.95,166.0
45,9.701485297399032,167.5,157.1,184.9,170.1
46,9.701485297399032,159.5,157.35,167.6,161.9
47,13.859264710570043,165.5,158.7,169.65,163.1
48,2.771852942114009,169.5,160.8,179.79999999999998,170.5
49,8.315558826342025,160.5,148.15,180.04999999999998,162.5
50,2.771852942114009,156.0,152.35,165.9,158.4
