week,week_continuous,incidence_rate_adjusted
1,1,41.57779413171013
2,2,27.71852942114009
3,3,24.94667647902608
4,4,23.560750007969077
5,5,18.01704412374106
6,6,19.402970594798063
7,7,11.087411768456034
8,8,15.24519118162705
9,9,6.929632355285023
10,10,8.315558826342025
11,11,2.771852942114009
12,12,9.701485297399032
13,13,4.157779413171013
14,14,5.543705884228017
15,15,9.701485297399032
16,16,4.157779413171013
17,17,2.771852942114009
18,18,5.543705884228017
19,19,1.3859264710570045
20,20,4.157779413171013
21,21,9.701485297399032
22,22,11.087411768456034
23,23,6.929632355285023
24,24,8.315558826342025
25,25,20.788897065855064
26,26,6.929632355285023
27,27,26.33260295008309
28,28,34.64816177642511
29,29,29.10445589219709
30,30,34.64816177642511
31,31,36.03408824748212
32,32,44.34964707382414
33,33,51.27927942910917
34,34,31.8763088343111
35,35,36.03408824748212
36,36,40.19186766065313
37,37,55.43705884228018
38,38,60.9807647265082
39,39,55.43705884228018
40,40,40.19186766065313
41,41,55.43705884228018
42,42,45.73557354488114
43,43,41.57779413171013
44,44,49.89335295805216
45,45,42.96372060276714
46,46,30.4903823632541
47,47,66.5244706107362
48,48,67.91039708179322
49,49,55.43705884228018
50,50,66.5244706107362
51,51,51.27927942910917
52,52,51.27927942910917
53,53,58.20891178439418
54,54,42.96372060276714
55,55,51.27927942910917
56,56,33.2622353053681
57,57,30.4903823632541
58,58,33.2622353053681
59,59,30.4903823632541
60,60,19.402970594798063
61,61,9.701485297399032
62,62,5.543705884228017
63,63,20.788897065855064
64,64,13.859264710570043
65,65,11.087411768456034
66,66,18.01704412374106
67,67,6.929632355285023
68,68,9.701485297399032
69,69,12.47333823951304
70,70,12.47333823951304
71,71,11.087411768456034
72,72,9.701485297399032
73,73,9.701485297399032
74,74,13.859264710570043
75,75,2.771852942114009
76,76,8.315558826342025
77,77,2.771852942114009
78,78,11.087411768456034
79,79,13.859264710570043
80,80,8.315558826342025
81,81,2.771852942114009
82,82,13.859264710570043
83,83,20.788897065855064
84,84,12.47333823951304
85,85,19.402970594798063
86,86,22.17482353691207
87,87,15.24519118162705
88,88,15.24519118162705
89,89,8.315558826342025
90,90,15.24519118162705
91,91,18.01704412374106
92,92,12.47333823951304
93,93,5.543705884228017
94,94,18.01704412374106
95,95,6.929632355285023
96,96,11.087411768456034
97,97,13.859264710570043
98,98,6.929632355285023
99,99,11.087411768456034
100,100,13.859264710570043
101,101,13.859264710570043
102,102,19.402970594798063
103,103,13.859264710570043
104,104,20.788897065855064
