week,cases,adjusted_cases,incidence_rate_adjusted,year,week_continuous
1,30,231.0,41.61937192584185,2023,1
2,20,154.0,27.746247950561234,2023,2
3,18,138.6,24.971623155505103,2023,3
4,17,130.9,23.584310757977047,2023,4
5,13,100.10000000000001,18.035061167864804,2023,5
6,14,107.8,19.42237356539286,2023,6
7,8,61.6,11.098499180224493,2023,7
8,11,84.7,15.260436372808677,2023,8
9,5,38.5,6.936561987640308,2023,9
10,6,46.2,8.32387438516837,2023,10
11,2,15.4,2.7746247950561234,2023,11
12,7,53.9,9.71118678269643,2023,12
13,3,23.1,4.161937192584185,2023,13
14,4,30.8,5.549249590112247,2023,14
15,7,53.9,9.71118678269643,2023,15
16,3,23.1,4.161937192584185,2023,16
17,2,15.4,2.7746247950561234,2023,17
18,4,30.8,5.549249590112247,2023,18
19,1,7.7,1.3873123975280617,2023,19
20,3,23.1,4.161937192584185,2023,20
21,7,53.9,9.71118678269643,2023,21
22,8,61.6,11.098499180224493,2023,22
23,5,38.5,6.936561987640308,2023,23
24,6,46.2,8.32387438516837,2023,24
25,15,115.5,20.809685962920923,2023,25
26,5,38.5,6.936561987640308,2023,26
27,19,146.3,26.358935553033174,2023,27
28,25,192.5,34.68280993820154,2023,28
29,21,161.70000000000002,29.133560348089297,2023,29
30,25,192.5,34.68280993820154,2023,30
31,26,200.20000000000002,36.07012233572961,2023,31
32,32,246.4,44.393996720897974,2023,32
33,37,284.90000000000003,51.330558708538284,2023,33
34,23,177.1,31.908185143145413,2023,34
35,26,200.20000000000002,36.07012233572961,2023,35
36,29,223.3,40.23205952831378,2023,36
37,40,308.0,55.49249590112247,2023,37
38,44,338.8,61.04174549123471,2023,38
39,40,308.0,55.49249590112247,2023,39
40,29,223.3,40.23205952831378,2023,40
41,40,308.0,55.49249590112247,2023,41
42,33,254.1,45.78130911842603,2023,42
43,30,231.0,41.61937192584185,2023,43
44,36,277.2,49.943246311010206,2023,44
45,31,238.70000000000002,43.00668432336991,2023,45
46,22,169.4,30.520872745617353,2023,46
47,48,369.6,66.59099508134696,2023,47
48,49,377.3,67.97830747887501,2023,48
49,40,308.0,55.49249590112247,2023,49
50,48,369.6,66.59099508134696,2023,50
51,37,284.90000000000003,51.330558708538284,2023,51
52,37,284.90000000000003,51.330558708538284,2023,52
1,42,323.40000000000003,58.267120696178594,2024,53
2,31,238.70000000000002,43.00668432336991,2024,54
3,37,284.90000000000003,51.330558708538284,2024,55
4,24,184.8,33.29549754067348,2024,56
5,22,169.4,30.520872745617353,2024,57
6,24,184.8,33.29549754067348,2024,58
7,22,169.4,30.520872745617353,2024,59
8,14,107.8,19.42237356539286,2024,60
9,7,53.9,9.71118678269643,2024,61
10,4,30.8,5.549249590112247,2024,62
11,15,115.5,20.809685962920923,2024,63
12,10,77.0,13.873123975280617,2024,64
13,8,61.6,11.098499180224493,2024,65
14,13,100.10000000000001,18.035061167864804,2024,66
15,5,38.5,6.936561987640308,2024,67
16,7,53.9,9.71118678269643,2024,68
17,9,69.3,12.485811577752552,2024,69
18,9,69.3,12.485811577752552,2024,70
19,8,61.6,11.098499180224493,2024,71
20,7,53.9,9.71118678269643,2024,72
21,7,53.9,9.71118678269643,2024,73
22,10,77.0,13.873123975280617,2024,74
23,2,15.4,2.7746247950561234,2024,75
24,6,46.2,8.32387438516837,2024,76
25,2,15.4,2.7746247950561234,2024,77
26,8,61.6,11.098499180224493,2024,78
27,10,77.0,13.873123975280617,2024,79
28,6,46.2,8.32387438516837,2024,80
29,2,15.4,2.7746247950561234,2024,81
30,10,77.0,13.873123975280617,2024,82
31,15,115.5,20.809685962920923,2024,83
32,9,69.3,12.485811577752552,2024,84
33,14,107.8,19.42237356539286,2024,85
34,16,123.2,22.196998360448987,2024,86
35,11,84.7,15.260436372808677,2024,87
36,11,84.7,15.260436372808677,2024,88
37,6,46.2,8.32387438516837,2024,89
38,11,84.7,15.260436372808677,2024,90
39,13,100.10000000000001,18.035061167864804,2024,91
40,9,69.3,12.485811577752552,2024,92
41,4,30.8,5.549249590112247,2024,93
42,13,100.10000000000001,18.035061167864804,2024,94
43,5,38.5,6.936561987640308,2024,95
44,8,61.6,11.098499180224493,2024,96
45,10,77.0,13.873123975280617,2024,97
46,5,38.5,6.936561987640308,2024,98
47,8,61.6,11.098499180224493,2024,99
48,10,77.0,13.873123975280617,2024,100
49,10,77.0,13.873123975280617,2024,101
50,14,107.8,19.42237356539286,2024,102
51,10,77.0,13.873123975280617,2024,103
52,15,115.5,20.809685962920923,2024,104
